Total Sales;$8.762.912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Profit;$1.294.794;;;04.11.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Transactions;$6.227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date;Store Name;Region;Note;Store Type;Product Name;Product Category;Units Sold;Revenue;Profit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TREEMAP;;;
01.01.2020;Beverly Hills;Los Angeles;;Residential;Action Figure;Toys;63;$1.007;$378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Region;Store;Product Category;Revenue
01.04.2020;JFK;New York;;Airport;Nerf Gun;Sports & Outdoors;27;$540;$135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;JFK;New York;;Airport;PlayDoh Can;Art & Crafts;7;$21;$7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;JFK;New York;;Airport;PlayDoh Toolkit;Art & Crafts;34;$170;$34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;JFK;New York;;Airport;Rubik's Cube;Games;49;$980;$98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;JFK;New York;;Airport;Splash Balls;Sports & Outdoors;72;$647;$72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;JFK;New York;;Airport;Water Gun;Sports & Outdoors;13;$195;$39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;JFK;New York;;Airport;Toy Robot;Electronics;9;$234;$45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Lincoln Park;Chicago;;Residential;Action Figure;Toys;109;$1.743;$654;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Lincoln Park;Chicago;;Residential;Animal Figures;Toys;41;$533;$123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Lincoln Park;Chicago;;Residential;Classic Dominoes;Games;29;$290;$58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Lincoln Park;Chicago;;Residential;Colorbuds;Electronics;71;$1.064;$568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Lincoln Park;Chicago;;Residential;Dart Gun;Sports & Outdoors;11;$176;$44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Lincoln Park;Chicago;;Residential;Deck Of Cards;Games;108;$755;$324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Lincoln Park;Chicago;;Residential;Dino Egg;Toys;31;$341;$31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Lincoln Park;Chicago;;Residential;Glass Marbles;Games;21;$231;$105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Lincoln Park;Chicago;;Residential;Hot Wheels Pack;Toys;14;$84;$28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Lincoln Park;Chicago;;Residential;Kids Makeup Kit;Art & Crafts;17;$340;$102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Lincoln Park;Chicago;;Residential;Lego Bricks;Toys;36;$1.440;$180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Lincoln Park;Chicago;;Residential;Mini Ping Pong;Sports & Outdoors;71;$709;$213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Lincoln Park;Chicago;;Residential;PlayDoh Can;Art & Crafts;98;$293;$98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Lincoln Park;Chicago;;Residential;PlayDoh Toolkit;Art & Crafts;44;$220;$44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Lincoln Park;Chicago;;Residential;Rubik's Cube;Games;66;$1.319;$132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Lincoln Park;Chicago;;Residential;Splash Balls;Sports & Outdoors;63;$566;$63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Lincoln Park;Chicago;;Residential;Water Gun;Sports & Outdoors;40;$600;$120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Lincoln Park;Chicago;;Residential;Teddy Bear;Toys;6;$78;$12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Lincoln Park;Chicago;;Residential;Toy Robot;Electronics;17;$442;$85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Michigan Ave;Chicago;;Commercial;Action Figure;Toys;118;$1.887;$708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Michigan Ave;Chicago;;Commercial;Animal Figures;Toys;157;$2.039;$471;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Michigan Ave;Chicago;;Commercial;Colorbuds;Electronics;273;$4.092;$2.184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Michigan Ave;Chicago;;Commercial;Dart Gun;Sports & Outdoors;41;$656;$164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Michigan Ave;Chicago;;Commercial;Deck Of Cards;Games;47;$329;$141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Michigan Ave;Chicago;;Commercial;Dino Egg;Toys;27;$297;$27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Michigan Ave;Chicago;;Commercial;Dinosaur Figures;Toys;44;$660;$176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Michigan Ave;Chicago;;Commercial;Glass Marbles;Games;29;$319;$145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Michigan Ave;Chicago;;Commercial;Hot Wheels Pack;Toys;18;$108;$36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Michigan Ave;Chicago;;Commercial;Kids Makeup Kit;Art & Crafts;144;$2.879;$864;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Michigan Ave;Chicago;;Commercial;Lego Bricks;Toys;160;$6.398;$800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Michigan Ave;Chicago;;Commercial;PlayDoh Can;Art & Crafts;191;$571;$191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Michigan Ave;Chicago;;Commercial;PlayDoh Toolkit;Art & Crafts;18;$90;$18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Michigan Ave;Chicago;;Commercial;Rubik's Cube;Games;111;$2.219;$222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Michigan Ave;Chicago;;Commercial;Splash Balls;Sports & Outdoors;58;$521;$58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Michigan Ave;Chicago;;Commercial;Water Gun;Sports & Outdoors;19;$285;$57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Michigan Ave;Chicago;;Commercial;Toy Robot;Electronics;26;$676;$130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Fifth Avenue;New York;;Commercial;Action Figure;Toys;161;$2.574;$966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Fifth Avenue;New York;;Commercial;Animal Figures;Toys;66;$857;$198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Fifth Avenue;New York;;Commercial;Colorbuds;Electronics;117;$1.754;$936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Fifth Avenue;New York;;Commercial;Dart Gun;Sports & Outdoors;15;$240;$60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Fifth Avenue;New York;;Commercial;Deck Of Cards;Games;17;$119;$51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Fifth Avenue;New York;;Commercial;Dino Egg;Toys;40;$440;$40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Fifth Avenue;New York;;Commercial;Dinosaur Figures;Toys;13;$195;$52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Fifth Avenue;New York;;Commercial;Glass Marbles;Games;13;$143;$65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Fifth Avenue;New York;;Commercial;Hot Wheels Pack;Toys;14;$84;$28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Fifth Avenue;New York;;Commercial;Kids Makeup Kit;Art & Crafts;116;$2.319;$696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Fifth Avenue;New York;;Commercial;Lego Bricks;Toys;164;$6.558;$820;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Fifth Avenue;New York;;Commercial;Nerf Gun;Sports & Outdoors;29;$580;$145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Fifth Avenue;New York;;Commercial;PlayDoh Can;Art & Crafts;21;$63;$21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Fifth Avenue;New York;;Commercial;PlayDoh Toolkit;Art & Crafts;13;$65;$13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Fifth Avenue;New York;;Commercial;Rubik's Cube;Games;49;$980;$98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Fifth Avenue;New York;;Commercial;Splash Balls;Sports & Outdoors;311;$2.796;$311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Fifth Avenue;New York;;Commercial;Water Gun;Sports & Outdoors;13;$195;$39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2020;Fifth Avenue;New York;;Commercial;Toy Robot;Electronics;25;$650;$125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.05.2020;Beverly Hills;Los Angeles;;Residential;Action Figure;Toys;87;$1.391;$522;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.05.2020;Beverly Hills;Los Angeles;;Residential;Chutes & Ladders;Games;5;$65;$15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.05.2020;Beverly Hills;Los Angeles;;Residential;Classic Dominoes;Games;6;$60;$12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.05.2020;Beverly Hills;Los Angeles;;Residential;Dart Gun;Sports & Outdoors;22;$352;$88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.05.2020;Beverly Hills;Los Angeles;;Residential;Deck Of Cards;Games;101;$706;$303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.05.2020;Beverly Hills;Los Angeles;;Residential;Dino Egg;Toys;101;$1.110;$101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.05.2020;Beverly Hills;Los Angeles;;Residential;Dinosaur Figures;Toys;48;$720;$192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.05.2020;Beverly Hills;Los Angeles;;Residential;Glass Marbles;Games;34;$374;$170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.05.2020;Beverly Hills;Los Angeles;;Residential;Hot Wheels Pack;Toys;16;$96;$32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.05.2020;Beverly Hills;Los Angeles;;Residential;Kids Makeup Kit;Art & Crafts;19;$380;$114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.05.2020;Beverly Hills;Los Angeles;;Residential;Lego Bricks;Toys;50;$2.000;$250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.05.2020;Beverly Hills;Los Angeles;;Residential;Basketball Hoop;Sports & Outdoors;11;$275;$176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.05.2020;Beverly Hills;Los Angeles;;Residential;PlayDoh Can;Art & Crafts;40;$120;$40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.05.2020;Beverly Hills;Los Angeles;;Residential;PlayDoh Playset;Art & Crafts;13;$325;$52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.05.2020;Beverly Hills;Los Angeles;;Residential;PlayDoh Toolkit;Art & Crafts;36;$180;$36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.05.2020;Beverly Hills;Los Angeles;;Residential;Splash Balls;Sports & Outdoors;36;$324;$36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.05.2020;Beverly Hills;Los Angeles;;Residential;Teddy Bear;Toys;12;$156;$24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.05.2020;Beverly Hills;Los Angeles;;Residential;Toy Robot;Electronics;26;$676;$130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.05.2020;Hollywood;Los Angeles;;Commercial;Action Figure;Toys;62;$991;$372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.05.2020;Hollywood;Los Angeles;;Commercial;Animal Figures;Toys;39;$507;$117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.05.2020;Hollywood;Los Angeles;;Commercial;Colorbuds;Electronics;154;$2.308;$1.232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.05.2020;Hollywood;Los Angeles;;Commercial;Dart Gun;Sports & Outdoors;9;$144;$36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.05.2020;Hollywood;Los Angeles;;Commercial;Deck Of Cards;Games;180;$1.258;$540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.05.2020;Hollywood;Los Angeles;;Commercial;Dino Egg;Toys;102;$1.121;$102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.05.2020;Hollywood;Los Angeles;;Commercial;Dinosaur Figures;Toys;51;$764;$204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.05.2020;Hollywood;Los Angeles;;Commercial;Glass Marbles;Games;18;$198;$90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.05.2020;Hollywood;Los Angeles;;Commercial;Hot Wheels Pack;Toys;19;$114;$38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.05.2020;Hollywood;Los Angeles;;Commercial;Jenga;Games;18;$180;$126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.05.2020;Hollywood;Los Angeles;;Commercial;Kids Makeup Kit;Art & Crafts;62;$1.239;$372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.05.2020;Hollywood;Los Angeles;;Commercial;Lego Bricks;Toys;74;$2.959;$370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.05.2020;Hollywood;Los Angeles;;Commercial;Nerf Gun;Sports & Outdoors;11;$220;$55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.05.2020;Hollywood;Los Angeles;;Commercial;PlayDoh Can;Art & Crafts;104;$311;$104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.05.2020;Hollywood;Los Angeles;;Commercial;PlayDoh Toolkit;Art & Crafts;17;$85;$17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.05.2020;Hollywood;Los Angeles;;Commercial;Rubik's Cube;Games;21;$420;$42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.05.2020;Hollywood;Los Angeles;;Commercial;Splash Balls;Sports & Outdoors;106;$953;$106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.05.2020;Hollywood;Los Angeles;;Commercial;Water Gun;Sports & Outdoors;10;$150;$30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.05.2020;Hollywood;Los Angeles;;Commercial;Teddy Bear;Toys;10;$130;$20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.05.2020;Hollywood;Los Angeles;;Commercial;Toy Robot;Electronics;21;$546;$105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.05.2020;Times Square;New York;;Downtown;Action Figure;Toys;106;$1.695;$636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.05.2020;Times Square;New York;;Downtown;Animal Figures;Toys;39;$507;$117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.05.2020;Times Square;New York;;Downtown;Classic Dominoes;Games;11;$110;$22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.05.2020;Times Square;New York;;Downtown;Colorbuds;Electronics;197;$2.953;$1.576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.05.2020;Times Square;New York;;Downtown;Dart Gun;Sports & Outdoors;36;$576;$144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.05.2020;Times Square;New York;;Downtown;Deck Of Cards;Games;46;$322;$138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.05.2020;Times Square;New York;;Downtown;Dino Egg;Toys;76;$835;$76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.05.2020;Times Square;New York;;Downtown;Dinosaur Figures;Toys;32;$480;$128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.05.2020;Times Square;New York;;Downtown;Glass Marbles;Games;58;$637;$290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.05.2020;Times Square;New York;;Downtown;Hot Wheels Pack;Toys;48;$288;$96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.05.2020;Times Square;New York;;Downtown;Jenga;Games;14;$140;$98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.05.2020;Times Square;New York;;Downtown;Kids Makeup Kit;Art & Crafts;74;$1.479;$444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.05.2020;Times Square;New York;;Downtown;Lego Bricks;Toys;115;$4.599;$575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.05.2020;Times Square;New York;;Downtown;Basketball Hoop;Sports & Outdoors;37;$925;$592;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.05.2020;Times Square;New York;;Downtown;Nerf Gun;Sports & Outdoors;8;$160;$40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.05.2020;Times Square;New York;;Downtown;PlayDoh Can;Art & Crafts;147;$440;$147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.05.2020;Times Square;New York;;Downtown;PlayDoh Toolkit;Art & Crafts;32;$160;$32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.05.2020;Times Square;New York;;Downtown;Splash Balls;Sports & Outdoors;49;$441;$49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.05.2020;Times Square;New York;;Downtown;Teddy Bear;Toys;4;$52;$8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.05.2020;Millenium;Chicago;;Downtown;Action Figure;Toys;123;$1.967;$738;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.05.2020;Millenium;Chicago;;Downtown;Animal Figures;Toys;95;$1.234;$285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.05.2020;Millenium;Chicago;;Downtown;Colorbuds;Electronics;149;$2.234;$1.192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.05.2020;Millenium;Chicago;;Downtown;Dart Gun;Sports & Outdoors;61;$975;$244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.05.2020;Millenium;Chicago;;Downtown;Deck Of Cards;Games;86;$601;$258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.05.2020;Millenium;Chicago;;Downtown;Dino Egg;Toys;132;$1.451;$132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.05.2020;Millenium;Chicago;;Downtown;Dinosaur Figures;Toys;53;$794;$212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.05.2020;Millenium;Chicago;;Downtown;Glass Marbles;Games;78;$857;$390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.05.2020;Millenium;Chicago;;Downtown;Hot Wheels Pack;Toys;6;$36;$12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.05.2020;Millenium;Chicago;;Downtown;Jenga;Games;25;$250;$175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.05.2020;Millenium;Chicago;;Downtown;Kids Makeup Kit;Art & Crafts;62;$1.239;$372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.05.2020;Millenium;Chicago;;Downtown;Lego Bricks;Toys;117;$4.679;$585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.05.2020;Millenium;Chicago;;Downtown;Nerf Gun;Sports & Outdoors;37;$740;$185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.05.2020;Millenium;Chicago;;Downtown;PlayDoh Can;Art & Crafts;86;$257;$86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.05.2020;Millenium;Chicago;;Downtown;PlayDoh Playset;Art & Crafts;2;$50;$8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.05.2020;Millenium;Chicago;;Downtown;PlayDoh Toolkit;Art & Crafts;33;$165;$33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.05.2020;Millenium;Chicago;;Downtown;Rubik's Cube;Games;87;$1.739;$174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.05.2020;Millenium;Chicago;;Downtown;Splash Balls;Sports & Outdoors;126;$1.133;$126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.05.2020;Millenium;Chicago;;Downtown;Water Gun;Sports & Outdoors;7;$105;$21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.05.2020;Millenium;Chicago;;Downtown;Teddy Bear;Toys;10;$130;$20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.05.2020;Millenium;Chicago;;Downtown;Toy Robot;Electronics;21;$546;$105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.05.2020;LAX;Los Angeles;;Airport;Action Figure;Toys;85;$1.359;$510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.05.2020;LAX;Los Angeles;;Airport;Animal Figures;Toys;78;$1.013;$234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.05.2020;LAX;Los Angeles;;Airport;Colorbuds;Electronics;296;$4.437;$2.368;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.05.2020;LAX;Los Angeles;;Airport;Dart Gun;Sports & Outdoors;105;$1.679;$420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.05.2020;LAX;Los Angeles;;Airport;Dino Egg;Toys;87;$956;$87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.05.2020;LAX;Los Angeles;;Airport;Dinosaur Figures;Toys;107;$1.604;$428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.05.2020;LAX;Los Angeles;;Airport;Glass Marbles;Games;22;$242;$110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.05.2020;LAX;Los Angeles;;Airport;Hot Wheels Pack;Toys;30;$180;$60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.05.2020;LAX;Los Angeles;;Airport;Jenga;Games;21;$210;$147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.05.2020;LAX;Los Angeles;;Airport;Kids Makeup Kit;Art & Crafts;54;$1.079;$324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.05.2020;LAX;Los Angeles;;Airport;Lego Bricks;Toys;108;$4.319;$540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.05.2020;LAX;Los Angeles;;Airport;Nerf Gun;Sports & Outdoors;89;$1.779;$445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.05.2020;LAX;Los Angeles;;Airport;PlayDoh Can;Art & Crafts;172;$514;$172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.05.2020;LAX;Los Angeles;;Airport;PlayDoh Playset;Art & Crafts;29;$725;$116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.05.2020;LAX;Los Angeles;;Airport;PlayDoh Toolkit;Art & Crafts;98;$489;$98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
